#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.1', start_date='2026-06-26T10:14:04', checksum=825300939, kind='quantile-0.5', investigation_time=50.0, imt='SA(1.0)'"
lon,lat,depth,poe-0.0100000,poe-0.0120045,poe-0.0144109,poe-0.0172997,poe-0.0207675,poe-0.0249304,poe-0.0299278,poe-0.0359270,poe-0.0431288,poe-0.0517741,poe-0.0621525,poe-0.0746113,poe-0.0895675,poe-0.1075217,poe-0.1290750,poe-0.1549487,poe-0.1860089,poe-0.2232953,poe-0.2680560,poe-0.3217891,poe-0.3862934,poe-0.4637278,poe-0.5566843,poe-0.6682744,poe-0.8022333,poe-0.9630449,poe-1.1560920,poe-1.3878364,poe-1.6660350,poe-2.0000000
90.41000,23.81000,0.00000,2.584768E-01,2.575529E-01,2.558877E-01,2.530550E-01,2.485073E-01,2.416098E-01,2.317058E-01,2.182501E-01,2.009661E-01,1.799993E-01,1.560183E-01,1.302103E-01,1.041380E-01,7.946994E-02,5.765357E-02,3.964037E-02,2.532832E-02,1.472670E-02,7.902385E-03,3.847417E-03,1.626031E-03,5.607992E-04,1.450926E-04,9.805774E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
90.41000,24.75000,0.00000,2.591818E-01,2.590334E-01,2.587970E-01,2.583300E-01,2.574459E-01,2.558925E-01,2.533405E-01,2.493857E-01,2.435361E-01,2.352840E-01,2.241912E-01,2.099631E-01,1.925546E-01,1.722496E-01,1.496991E-01,1.258917E-01,1.013887E-01,7.701268E-02,5.547869E-02,3.771909E-02,2.408100E-02,1.435196E-02,7.933892E-03,4.015957E-03,1.831241E-03,7.310553E-04,2.415873E-04,4.411409E-05,0.000000E+00,0.000000E+00
90.50000,23.62000,0.00000,2.581414E-01,2.569301E-01,2.548021E-01,2.512686E-01,2.457381E-01,2.375466E-01,2.260655E-01,2.108475E-01,1.917899E-01,1.692720E-01,1.442150E-01,1.180156E-01,9.233657E-02,6.879517E-02,4.864208E-02,3.254509E-02,1.979389E-02,1.108315E-02,5.690858E-03,2.609043E-03,9.938396E-04,3.035358E-04,5.143285E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
90.50000,23.90000,0.00000,2.586771E-01,2.579386E-01,2.565690E-01,2.541940E-01,2.503015E-01,2.442821E-01,2.354708E-01,2.232644E-01,2.072736E-01,1.874835E-01,1.643804E-01,1.389887E-01,1.127765E-01,8.742140E-02,6.448859E-02,4.512285E-02,2.949745E-02,1.751218E-02,9.617915E-03,4.822107E-03,2.134187E-03,7.750127E-04,2.220413E-04,2.851226E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
91.87000,24.90000,0.00000,2.591818E-01,2.590563E-01,2.588898E-01,2.585864E-01,2.580730E-01,2.572526E-01,2.560105E-01,2.542115E-01,2.516812E-01,2.483295E-01,2.440705E-01,2.388032E-01,2.324019E-01,2.246172E-01,2.151323E-01,2.035935E-01,1.888811E-01,1.701653E-01,1.483418E-01,1.242961E-01,9.947567E-02,7.560802E-02,5.431904E-02,3.673114E-02,2.324582E-02,1.367111E-02,7.431822E-03,3.677477E-03,1.611550E-03,6.065099E-04
92.12000,25.10000,0.00000,2.590843E-01,2.589450E-01,2.586851E-01,2.582379E-01,2.574998E-01,2.563225E-01,2.545551E-01,2.520185E-01,2.485631E-01,2.440590E-01,2.383675E-01,2.313686E-01,2.229729E-01,2.130693E-01,2.016026E-01,1.886328E-01,1.743247E-01,1.589759E-01,1.429896E-01,1.262297E-01,1.097439E-01,9.382559E-02,7.857996E-02,6.405300E-02,5.041553E-02,3.799079E-02,2.719065E-02,1.835555E-02,1.160098E-02,6.820643E-03
