#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.1', start_date='2026-06-26T10:14:04', checksum=825300939, kind='mean', investigation_time=50.0, imt='SA(1.0)'"
lon,lat,depth,poe-0.0100000,poe-0.0120045,poe-0.0144109,poe-0.0172997,poe-0.0207675,poe-0.0249304,poe-0.0299278,poe-0.0359270,poe-0.0431288,poe-0.0517741,poe-0.0621525,poe-0.0746113,poe-0.0895675,poe-0.1075217,poe-0.1290750,poe-0.1549487,poe-0.1860089,poe-0.2232953,poe-0.2680560,poe-0.3217891,poe-0.3862934,poe-0.4637278,poe-0.5566843,poe-0.6682744,poe-0.8022333,poe-0.9630449,poe-1.1560920,poe-1.3878364,poe-1.6660350,poe-2.0000000
90.41000,23.81000,0.00000,2.588377E-01,2.582888E-01,2.572015E-01,2.551984E-01,2.517603E-01,2.462300E-01,2.378450E-01,2.258732E-01,2.097951E-01,1.895097E-01,1.655057E-01,1.389216E-01,1.114372E-01,8.498167E-02,6.132885E-02,4.172084E-02,2.666141E-02,1.594526E-02,8.874200E-03,4.541826E-03,2.075477E-03,8.027622E-04,2.310109E-04,2.644442E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
90.41000,24.75000,0.00000,2.591583E-01,2.591086E-01,2.589685E-01,2.586704E-01,2.580566E-01,2.569030E-01,2.548880E-01,2.515961E-01,2.464906E-01,2.389826E-01,2.285353E-01,2.147347E-01,1.974270E-01,1.768273E-01,1.535820E-01,1.287533E-01,1.037058E-01,7.990048E-02,5.864096E-02,4.084216E-02,2.689832E-02,1.668935E-02,9.717821E-03,5.273121E-03,2.644840E-03,1.206001E-03,4.831137E-04,1.518322E-04,3.132168E-05,4.430218E-07
90.50000,23.62000,0.00000,2.586480E-01,2.578994E-01,2.564603E-01,2.538889E-01,2.496068E-01,2.428923E-01,2.329726E-01,2.191812E-01,2.011580E-01,1.790509E-01,1.536473E-01,1.263649E-01,9.905419E-02,7.363808E-02,5.169572E-02,3.414571E-02,2.114642E-02,1.222545E-02,6.546817E-03,3.188824E-03,1.347992E-03,4.623809E-04,9.346399E-05,1.248476E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
90.50000,23.90000,0.00000,2.589445E-01,2.585264E-01,2.576596E-01,2.560221E-01,2.531397E-01,2.484010E-01,2.410624E-01,2.303571E-01,2.156653E-01,1.967196E-01,1.737983E-01,1.478333E-01,1.203622E-01,9.328976E-02,6.850231E-02,4.745836E-02,3.091107E-02,1.886188E-02,1.073150E-02,5.641167E-03,2.679750E-03,1.094536E-03,3.543179E-04,6.151840E-05,4.895332E-07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
91.87000,24.90000,0.00000,2.591625E-01,2.591208E-01,2.590164E-01,2.588035E-01,2.584149E-01,2.577527E-01,2.566911E-01,2.550855E-01,2.527674E-01,2.496080E-01,2.454936E-01,2.403195E-01,2.339673E-01,2.261533E-01,2.164914E-01,2.045049E-01,1.897533E-01,1.720358E-01,1.515788E-01,1.291305E-01,1.059010E-01,8.334135E-02,6.283686E-02,4.538995E-02,3.145876E-02,2.097772E-02,1.350283E-02,8.412253E-03,5.089655E-03,3.002670E-03
92.12000,25.10000,0.00000,2.591364E-01,2.590536E-01,2.588784E-01,2.585497E-01,2.579749E-01,2.570189E-01,2.555169E-01,2.532767E-01,2.501110E-01,2.458822E-01,2.404246E-01,2.336239E-01,2.253639E-01,2.155041E-01,2.039584E-01,1.907535E-01,1.760563E-01,1.602041E-01,1.436847E-01,1.270052E-01,1.105904E-01,9.472768E-02,7.958534E-02,6.526863E-02,5.193399E-02,3.982267E-02,2.924297E-02,2.045586E-02,1.356696E-02,8.503802E-03
