#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.1', start_date='2026-06-26T10:14:04', checksum=825300939, kind='quantile-0.5', investigation_time=50.0, imt='SA(0.2)'"
lon,lat,depth,poe-0.0100000,poe-0.0120045,poe-0.0144109,poe-0.0172997,poe-0.0207675,poe-0.0249304,poe-0.0299278,poe-0.0359270,poe-0.0431288,poe-0.0517741,poe-0.0621525,poe-0.0746113,poe-0.0895675,poe-0.1075217,poe-0.1290750,poe-0.1549487,poe-0.1860089,poe-0.2232953,poe-0.2680560,poe-0.3217891,poe-0.3862934,poe-0.4637278,poe-0.5566843,poe-0.6682744,poe-0.8022333,poe-0.9630449,poe-1.1560920,poe-1.3878364,poe-1.6660350,poe-2.0000000
90.41000,23.81000,0.00000,2.591818E-01,2.591687E-01,2.590527E-01,2.586997E-01,2.578721E-01,2.562717E-01,2.533842E-01,2.485219E-01,2.408795E-01,2.318982E-01,2.142930E-01,1.942397E-01,1.655664E-01,1.348930E-01,1.034940E-01,7.422095E-02,4.943301E-02,3.040081E-02,1.715895E-02,8.808251E-03,4.032220E-03,1.565016E-03,4.637012E-04,1.043828E-04,4.944424E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
90.41000,24.75000,0.00000,2.591818E-01,2.591818E-01,2.591818E-01,2.591818E-01,2.590912E-01,2.591373E-01,2.589899E-01,2.586368E-01,2.578013E-01,2.561439E-01,2.530659E-01,2.478298E-01,2.396210E-01,2.275922E-01,2.131824E-01,1.964460E-01,1.766663E-01,1.543492E-01,1.303700E-01,1.059204E-01,8.236555E-02,6.102207E-02,3.180684E-02,1.823983E-02,9.433256E-03,4.307376E-03,1.690418E-03,5.291830E-04,1.217323E-04,3.457232E-06
90.50000,23.62000,0.00000,2.591818E-01,2.591403E-01,2.589189E-01,2.583227E-01,2.570927E-01,2.547834E-01,2.507574E-01,2.442278E-01,2.339239E-01,2.181662E-01,1.970410E-01,1.709518E-01,1.413108E-01,1.104073E-01,8.060795E-02,5.453074E-02,3.408055E-02,1.956362E-02,1.023355E-02,4.799921E-03,1.932510E-03,5.962207E-04,1.245222E-04,7.267838E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
90.50000,23.90000,0.00000,2.591818E-01,2.591818E-01,2.591203E-01,2.588884E-01,2.583043E-01,2.571076E-01,2.567391E-01,2.535209E-01,2.475841E-01,2.376277E-01,2.224143E-01,2.029087E-01,1.810941E-01,1.559487E-01,1.198142E-01,8.887994E-02,6.137357E-02,3.920618E-02,2.303395E-02,1.235543E-02,5.971156E-03,2.514629E-03,8.429280E-04,2.181010E-04,2.848028E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
91.87000,24.90000,0.00000,2.591818E-01,2.591818E-01,2.591818E-01,2.591818E-01,2.591818E-01,2.591665E-01,2.590612E-01,2.588135E-01,2.582984E-01,2.573324E-01,2.556980E-01,2.532026E-01,2.496258E-01,2.447897E-01,2.391587E-01,2.334101E-01,2.266757E-01,2.186624E-01,2.088702E-01,1.966884E-01,1.816121E-01,1.634668E-01,1.194531E-01,9.069591E-02,6.373023E-02,4.099024E-02,2.385823E-02,1.240339E-02,5.645182E-03,2.181598E-03
92.12000,25.10000,0.00000,2.591818E-01,2.591818E-01,2.591818E-01,2.591818E-01,2.590072E-01,2.587756E-01,2.583492E-01,2.576191E-01,2.564357E-01,2.546173E-01,2.520147E-01,2.485174E-01,2.453982E-01,2.394466E-01,2.321204E-01,2.239945E-01,2.149722E-01,2.043965E-01,1.920731E-01,1.779335E-01,1.621213E-01,1.449937E-01,1.270610E-01,1.088662E-01,7.530858E-02,5.643784E-02,3.962887E-02,2.559237E-02,1.492700E-02,7.739513E-03
