#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.1', start_date='2026-06-26T10:14:04', checksum=825300939, kind='quantile-0.95', investigation_time=50.0, imt='SA(0.2)'"
lon,lat,depth,poe-0.0100000,poe-0.0120045,poe-0.0144109,poe-0.0172997,poe-0.0207675,poe-0.0249304,poe-0.0299278,poe-0.0359270,poe-0.0431288,poe-0.0517741,poe-0.0621525,poe-0.0746113,poe-0.0895675,poe-0.1075217,poe-0.1290750,poe-0.1549487,poe-0.1860089,poe-0.2232953,poe-0.2680560,poe-0.3217891,poe-0.3862934,poe-0.4637278,poe-0.5566843,poe-0.6682744,poe-0.8022333,poe-0.9630449,poe-1.1560920,poe-1.3878364,poe-1.6660350,poe-2.0000000
90.41000,23.81000,0.00000,2.591818E-01,2.591813E-01,2.591678E-01,2.590842E-01,2.586807E-01,2.576308E-01,2.554082E-01,2.511608E-01,2.437832E-01,2.322581E-01,2.158506E-01,1.944128E-01,1.709457E-01,1.448659E-01,1.175877E-01,9.098732E-02,6.684531E-02,4.647313E-02,3.049087E-02,1.882522E-02,1.089195E-02,5.859727E-03,2.883562E-03,1.243460E-03,4.140199E-04,8.961766E-05,8.600548E-07,0.000000E+00,0.000000E+00,0.000000E+00
90.41000,24.75000,0.00000,2.591818E-01,2.591818E-01,2.591818E-01,2.591818E-01,2.591811E-01,2.591467E-01,2.590267E-01,2.587470E-01,2.581513E-01,2.569542E-01,2.547963E-01,2.511774E-01,2.455282E-01,2.372111E-01,2.257874E-01,2.107899E-01,1.918401E-01,1.690270E-01,1.430044E-01,1.151033E-01,8.725796E-02,6.166483E-02,4.290700E-02,2.854790E-02,1.793201E-02,1.060358E-02,5.886432E-03,3.035108E-03,1.429942E-03,5.970135E-04
90.50000,23.62000,0.00000,2.591818E-01,2.591777E-01,2.591264E-01,2.588600E-01,2.580517E-01,2.562608E-01,2.527421E-01,2.464630E-01,2.365207E-01,2.225107E-01,2.040861E-01,1.821165E-01,1.567106E-01,1.293342E-01,1.020553E-01,7.671661E-02,5.468087E-02,3.684966E-02,2.341570E-02,1.398161E-02,7.797906E-03,4.017690E-03,1.862917E-03,7.131174E-04,1.890166E-04,1.704390E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
90.50000,23.90000,0.00000,2.591818E-01,2.591818E-01,2.591806E-01,2.591580E-01,2.589732E-01,2.583134E-01,2.568866E-01,2.540109E-01,2.487753E-01,2.400751E-01,2.267968E-01,2.083310E-01,1.847849E-01,1.568422E-01,1.288551E-01,1.016300E-01,7.617231E-02,5.405425E-02,3.621018E-02,2.283660E-02,1.351341E-02,7.457187E-03,3.788323E-03,1.722369E-03,6.381193E-04,1.619976E-04,1.134984E-05,0.000000E+00,0.000000E+00,0.000000E+00
91.87000,24.90000,0.00000,2.591818E-01,2.591818E-01,2.591818E-01,2.591818E-01,2.591818E-01,2.591691E-01,2.590866E-01,2.588725E-01,2.584209E-01,2.575612E-01,2.560825E-01,2.537842E-01,2.505421E-01,2.463883E-01,2.415562E-01,2.363453E-01,2.307036E-01,2.243498E-01,2.163770E-01,2.052885E-01,1.895646E-01,1.682703E-01,1.426146E-01,1.200129E-01,9.707010E-02,7.531287E-02,5.603296E-02,3.999425E-02,2.739298E-02,1.799464E-02
92.12000,25.10000,0.00000,2.591818E-01,2.591818E-01,2.591818E-01,2.591818E-01,2.591647E-01,2.590644E-01,2.588254E-01,2.583314E-01,2.574078E-01,2.558456E-01,2.534418E-01,2.500112E-01,2.456419E-01,2.405511E-01,2.348117E-01,2.284433E-01,2.211435E-01,2.122628E-01,2.010712E-01,1.870750E-01,1.703146E-01,1.513789E-01,1.312120E-01,1.106652E-01,9.090391E-02,7.365017E-02,5.758757E-02,4.321790E-02,3.100634E-02,2.122312E-02
