#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.1', start_date='2026-06-26T04:18:15', checksum=825300939, kind='quantile-0.84', investigation_time=50.0, imt='SA(1.0)'"
lon,lat,depth,poe-0.0100000,poe-0.0120045,poe-0.0144109,poe-0.0172997,poe-0.0207675,poe-0.0249304,poe-0.0299278,poe-0.0359270,poe-0.0431288,poe-0.0517741,poe-0.0621525,poe-0.0746113,poe-0.0895675,poe-0.1075217,poe-0.1290750,poe-0.1549487,poe-0.1860089,poe-0.2232953,poe-0.2680560,poe-0.3217891,poe-0.3862934,poe-0.4637278,poe-0.5566843,poe-0.6682744,poe-0.8022333,poe-0.9630449,poe-1.1560920,poe-1.3878364,poe-1.6660350,poe-2.0000000
90.41000,23.81000,0.00000,2.590254E-01,2.586365E-01,2.577837E-01,2.560932E-01,2.530283E-01,2.478919E-01,2.398474E-01,2.280743E-01,2.119723E-01,1.913956E-01,1.668480E-01,1.395512E-01,1.113195E-01,8.422749E-02,6.015747E-02,4.038944E-02,2.584657E-02,1.598382E-02,9.290810E-03,5.029751E-03,2.482018E-03,1.143064E-03,3.399993E-04,4.176254E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
90.41000,24.75000,0.00000,2.591818E-01,2.591475E-01,2.590487E-01,2.588217E-01,2.583069E-01,2.572868E-01,2.554219E-01,2.522787E-01,2.472789E-01,2.397884E-01,2.292339E-01,2.151730E-01,1.974487E-01,1.763046E-01,1.524474E-01,1.270234E-01,1.021788E-01,7.992528E-02,5.993422E-02,4.296342E-02,2.936408E-02,2.011566E-02,1.203617E-02,6.741689E-03,3.502700E-03,1.662456E-03,6.920310E-04,2.381461E-04,5.147655E-05,6.891450E-07
90.50000,23.62000,0.00000,2.589018E-01,2.583413E-01,2.571741E-01,2.549438E-01,2.510509E-01,2.447131E-01,2.350733E-01,2.213751E-01,2.031900E-01,1.806472E-01,1.545847E-01,1.265359E-01,9.850217E-02,7.254384E-02,5.031775E-02,3.274113E-02,2.069937E-02,1.242270E-02,6.981335E-03,3.623797E-03,1.678983E-03,6.781663E-04,1.559227E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
90.50000,23.90000,0.00000,2.590867E-01,2.588144E-01,2.581539E-01,2.568064E-01,2.542816E-01,2.499402E-01,2.429726E-01,2.325255E-01,2.178908E-01,1.987396E-01,1.753429E-01,1.486945E-01,1.204555E-01,9.268153E-02,6.738792E-02,4.609806E-02,2.993752E-02,1.887025E-02,1.120011E-02,6.215489E-03,3.173783E-03,1.544614E-03,5.108563E-04,1.062825E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
91.87000,24.90000,0.00000,2.591818E-01,2.591544E-01,2.590737E-01,2.588904E-01,2.585383E-01,2.579092E-01,2.568649E-01,2.552540E-01,2.529111E-01,2.497045E-01,2.455273E-01,2.402908E-01,2.338997E-01,2.260545E-01,2.163223E-01,2.041467E-01,1.898552E-01,1.747844E-01,1.548489E-01,1.330130E-01,1.103626E-01,8.822194E-02,6.787391E-02,5.029261E-02,3.601945E-02,2.503081E-02,1.686903E-02,1.103748E-02,7.017646E-03,4.331239E-03
92.12000,25.10000,0.00000,2.591644E-01,2.591055E-01,2.589584E-01,2.586677E-01,2.581357E-01,2.572277E-01,2.557624E-01,2.535366E-01,2.503581E-01,2.460947E-01,2.405819E-01,2.337243E-01,2.254035E-01,2.154721E-01,2.038320E-01,1.905022E-01,1.756560E-01,1.596593E-01,1.430380E-01,1.269004E-01,1.109475E-01,9.541637E-02,8.053723E-02,6.706215E-02,5.411467E-02,4.239831E-02,3.204644E-02,2.321972E-02,1.605517E-02,1.052996E-02
