#,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.1', start_date='2026-06-26T04:18:15', checksum=825300939, kind='quantile-0.05', investigation_time=50.0"
lon,lat,PGA-0.02,PGA-0.05,PGA-0.1,PGA-0.2,PGA-0.5,SA(0.2)-0.02,SA(0.2)-0.05,SA(0.2)-0.1,SA(0.2)-0.2,SA(0.2)-0.5,SA(1.0)-0.02,SA(1.0)-0.05,SA(1.0)-0.1,SA(1.0)-0.2,SA(1.0)-0.5
90.41000,23.81000,1.069920E-01,8.031829E-02,5.857914E-02,3.251524E-02,0.000000E+00,2.364867E-01,1.733638E-01,1.254781E-01,6.878338E-02,0.000000E+00,2.014161E-01,1.369422E-01,8.950364E-02,4.071034E-02,0.000000E+00
90.41000,24.75000,2.242861E-01,1.662137E-01,1.209218E-01,6.605512E-02,0.000000E+00,5.154516E-01,3.742055E-01,2.654834E-01,1.372508E-01,0.000000E+00,4.124643E-01,2.815840E-01,1.877212E-01,8.012408E-02,0.000000E+00
90.50000,23.62000,9.163120E-02,6.760418E-02,4.925767E-02,2.751189E-02,0.000000E+00,2.156822E-01,1.583093E-01,1.137215E-01,6.051264E-02,0.000000E+00,1.852973E-01,1.257349E-01,8.182367E-02,3.746131E-02,0.000000E+00
90.50000,23.90000,1.131761E-01,8.566429E-02,6.399856E-02,3.684255E-02,0.000000E+00,2.522641E-01,1.858577E-01,1.340199E-01,7.437231E-02,0.000000E+00,2.131401E-01,1.457112E-01,9.491952E-02,4.351270E-02,0.000000E+00
91.87000,24.90000,4.104693E-01,3.037384E-01,2.201206E-01,1.119000E-01,0.000000E+00,9.106871E-01,6.674162E-01,4.737566E-01,2.327194E-01,0.000000E+00,8.436192E-01,5.786439E-01,3.846313E-01,1.613271E-01,0.000000E+00
92.12000,25.10000,6.524469E-01,4.150629E-01,2.414065E-01,9.889214E-02,0.000000E+00,1.100569E+00,7.652596E-01,5.006250E-01,2.100407E-01,0.000000E+00,1.333561E+00,8.065319E-01,4.305208E-01,1.295974E-01,0.000000E+00
