#,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.1', start_date='2026-06-26T10:14:04', checksum=825300939, kind='quantile-0.16', investigation_time=50.0"
lon,lat,0.020000~PGA,0.020000~SA(0.2),0.020000~SA(1.0),0.050000~PGA,0.050000~SA(0.2),0.050000~SA(1.0),0.100000~PGA,0.100000~SA(0.2),0.100000~SA(1.0),0.200000~PGA,0.200000~SA(0.2),0.200000~SA(1.0),0.500000~PGA,0.500000~SA(0.2),0.500000~SA(1.0)
90.41000,23.81000,1.072704E-01,2.392497E-01,2.014161E-01,8.035171E-02,1.750246E-01,1.369422E-01,5.857914E-02,1.264072E-01,8.950364E-02,3.251524E-02,6.906299E-02,4.071034E-02,0.000000E+00,0.000000E+00,0.000000E+00
90.41000,24.75000,2.351420E-01,5.406694E-01,4.124643E-01,1.781664E-01,3.974429E-01,2.815840E-01,1.265211E-01,2.750932E-01,1.877212E-01,6.675292E-02,1.382869E-01,8.012408E-02,0.000000E+00,0.000000E+00,0.000000E+00
90.50000,23.62000,9.163120E-02,2.165587E-01,1.852973E-01,6.760418E-02,1.585912E-01,1.257349E-01,4.925767E-02,1.137457E-01,8.182367E-02,2.751189E-02,6.051264E-02,3.746131E-02,0.000000E+00,0.000000E+00,0.000000E+00
90.50000,23.90000,1.139877E-01,2.565711E-01,2.131401E-01,8.611396E-02,1.882003E-01,1.457112E-01,6.414902E-02,1.354053E-01,9.491952E-02,3.684255E-02,7.464869E-02,4.351270E-02,0.000000E+00,0.000000E+00,0.000000E+00
91.87000,24.90000,4.456534E-01,9.671412E-01,8.438021E-01,3.238009E-01,6.988790E-01,5.786439E-01,2.384864E-01,5.004520E-01,3.846313E-01,1.156481E-01,2.401570E-01,1.613271E-01,0.000000E+00,0.000000E+00,0.000000E+00
92.12000,25.10000,7.157784E-01,1.168299E+00,1.333561E+00,4.522639E-01,8.026732E-01,8.065319E-01,2.586707E-01,5.319623E-01,4.305208E-01,1.009575E-01,2.135435E-01,1.295974E-01,0.000000E+00,0.000000E+00,0.000000E+00
