#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.1', start_date='2026-06-26T10:14:04', checksum=825300939, kind='quantile-0.16', investigation_time=50.0, imt='SA(0.2)'"
lon,lat,depth,poe-0.0100000,poe-0.0120045,poe-0.0144109,poe-0.0172997,poe-0.0207675,poe-0.0249304,poe-0.0299278,poe-0.0359270,poe-0.0431288,poe-0.0517741,poe-0.0621525,poe-0.0746113,poe-0.0895675,poe-0.1075217,poe-0.1290750,poe-0.1549487,poe-0.1860089,poe-0.2232953,poe-0.2680560,poe-0.3217891,poe-0.3862934,poe-0.4637278,poe-0.5566843,poe-0.6682744,poe-0.8022333,poe-0.9630449,poe-1.1560920,poe-1.3878364,poe-1.6660350,poe-2.0000000
90.41000,23.81000,0.00000,2.591815E-01,2.591626E-01,2.590021E-01,2.585408E-01,2.575387E-01,2.556912E-01,2.525053E-01,2.473496E-01,2.395122E-01,2.283116E-01,2.132524E-01,1.908127E-01,1.614064E-01,1.291855E-01,9.674895E-02,6.726021E-02,4.311485E-02,2.533206E-02,1.355015E-02,6.519676E-03,2.735310E-03,8.967134E-04,1.500854E-04,1.565742E-05,7.416636E-07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
90.41000,24.75000,0.00000,2.591818E-01,2.591818E-01,2.591792E-01,2.591450E-01,2.590466E-01,2.588328E-01,2.583704E-01,2.575013E-01,2.559625E-01,2.534189E-01,2.494419E-01,2.435897E-01,2.353845E-01,2.244073E-01,2.083622E-01,1.869277E-01,1.614634E-01,1.332826E-01,1.043911E-01,7.710493E-02,5.347249E-02,3.474520E-02,1.800608E-02,9.310452E-03,4.307070E-03,1.704150E-03,5.496453E-04,1.058978E-04,1.825985E-05,5.185848E-07
90.50000,23.62000,0.00000,2.591802E-01,2.591235E-01,2.588429E-01,2.581541E-01,2.568024E-01,2.543862E-01,2.503363E-01,2.439656E-01,2.339239E-01,2.181662E-01,1.970410E-01,1.709518E-01,1.413108E-01,1.104073E-01,8.005628E-02,5.323476E-02,3.251828E-02,1.813445E-02,9.150608E-03,4.095921E-03,1.530400E-03,3.624269E-04,2.334479E-05,1.090176E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
90.50000,23.90000,0.00000,2.591818E-01,2.591759E-01,2.590907E-01,2.587637E-01,2.579918E-01,2.565090E-01,2.538891E-01,2.495467E-01,2.427883E-01,2.329030E-01,2.193045E-01,2.000775E-01,1.737321E-01,1.434421E-01,1.091735E-01,7.810266E-02,5.162605E-02,3.133696E-02,1.736001E-02,8.696395E-03,3.857017E-03,1.417260E-03,3.268034E-04,3.426632E-05,4.272042E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
91.87000,24.90000,0.00000,2.591818E-01,2.591818E-01,2.591810E-01,2.591545E-01,2.590671E-01,2.588891E-01,2.585614E-01,2.579970E-01,2.570883E-01,2.557200E-01,2.537859E-01,2.511845E-01,2.478069E-01,2.436162E-01,2.381425E-01,2.303676E-01,2.202907E-01,2.070507E-01,1.898077E-01,1.682332E-01,1.429384E-01,1.155905E-01,8.167414E-02,5.598247E-02,3.530154E-02,2.030678E-02,1.054558E-02,4.855017E-03,1.891517E-03,6.107397E-04
92.12000,25.10000,0.00000,2.591818E-01,2.591818E-01,2.591643E-01,2.590899E-01,2.589329E-01,2.586399E-01,2.581287E-01,2.572948E-01,2.560014E-01,2.540786E-01,2.513931E-01,2.478213E-01,2.432769E-01,2.376932E-01,2.309783E-01,2.221489E-01,2.106945E-01,1.966581E-01,1.798473E-01,1.605130E-01,1.392920E-01,1.170903E-01,9.491301E-02,7.379258E-02,5.006018E-02,3.352676E-02,2.067766E-02,1.158191E-02,5.845563E-03,2.622667E-03
