#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.1', start_date='2026-06-26T10:14:04', checksum=825300939, kind='quantile-0.95', investigation_time=50.0, imt='SA(1.0)'"
lon,lat,depth,poe-0.0100000,poe-0.0120045,poe-0.0144109,poe-0.0172997,poe-0.0207675,poe-0.0249304,poe-0.0299278,poe-0.0359270,poe-0.0431288,poe-0.0517741,poe-0.0621525,poe-0.0746113,poe-0.0895675,poe-0.1075217,poe-0.1290750,poe-0.1549487,poe-0.1860089,poe-0.2232953,poe-0.2680560,poe-0.3217891,poe-0.3862934,poe-0.4637278,poe-0.5566843,poe-0.6682744,poe-0.8022333,poe-0.9630449,poe-1.1560920,poe-1.3878364,poe-1.6660350,poe-2.0000000
90.41000,23.81000,0.00000,2.591520E-01,2.590017E-01,2.585532E-01,2.575170E-01,2.554644E-01,2.517770E-01,2.456397E-01,2.361392E-01,2.224512E-01,2.040886E-01,1.811587E-01,1.545355E-01,1.258488E-01,9.723360E-02,7.087489E-02,4.850050E-02,3.134599E-02,1.924809E-02,1.102593E-02,5.841545E-03,2.803279E-03,1.172366E-03,3.657381E-04,5.305305E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
90.41000,24.75000,0.00000,2.591818E-01,2.591747E-01,2.591366E-01,2.590199E-01,2.587264E-01,2.580743E-01,2.567930E-01,2.544817E-01,2.506031E-01,2.445030E-01,2.355296E-01,2.230948E-01,2.068405E-01,1.867895E-01,1.634552E-01,1.378699E-01,1.119863E-01,8.781091E-02,6.572062E-02,4.677900E-02,3.156374E-02,2.021891E-02,1.249887E-02,7.281568E-03,3.971868E-03,1.993705E-03,8.905130E-04,3.355455E-04,8.619468E-05,1.230616E-06
90.50000,23.62000,0.00000,2.591089E-01,2.588714E-01,2.582097E-01,2.568034E-01,2.541434E-01,2.495204E-01,2.420554E-01,2.308412E-01,2.151600E-01,1.947471E-01,1.700271E-01,1.422204E-01,1.132308E-01,8.529188E-02,6.046038E-02,4.014457E-02,2.542472E-02,1.512018E-02,8.357554E-03,4.239502E-03,1.908174E-03,7.072611E-04,1.566836E-04,6.242380E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
90.50000,23.90000,0.00000,2.591704E-01,2.590745E-01,2.587588E-01,2.579559E-01,2.562983E-01,2.532278E-01,2.479840E-01,2.396610E-01,2.273732E-01,2.104895E-01,1.888998E-01,1.632291E-01,1.348954E-01,1.059335E-01,7.858794E-02,5.479262E-02,3.601545E-02,2.256312E-02,1.320808E-02,7.175678E-03,3.562506E-03,1.582412E-03,5.650495E-04,1.124232E-04,2.447666E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
91.87000,24.90000,0.00000,2.591818E-01,2.591767E-01,2.591440E-01,2.590460E-01,2.588246E-01,2.584015E-01,2.576543E-01,2.564353E-01,2.545801E-01,2.518914E-01,2.481868E-01,2.433222E-01,2.371451E-01,2.293386E-01,2.194781E-01,2.070119E-01,1.920243E-01,1.748583E-01,1.569006E-01,1.373729E-01,1.170613E-01,9.691765E-02,7.788994E-02,6.075628E-02,4.603769E-02,3.390203E-02,2.422587E-02,1.677438E-02,1.122739E-02,7.234559E-03
92.12000,25.10000,0.00000,2.591802E-01,2.591578E-01,2.590888E-01,2.589119E-01,2.585661E-01,2.579406E-01,2.568783E-01,2.551838E-01,2.526069E-01,2.489839E-01,2.440940E-01,2.377952E-01,2.299238E-01,2.202961E-01,2.087917E-01,1.953876E-01,1.802419E-01,1.637099E-01,1.463654E-01,1.292688E-01,1.124721E-01,9.634755E-02,8.116024E-02,6.710086E-02,5.424021E-02,4.262113E-02,3.240233E-02,2.372003E-02,1.665145E-02,1.117518E-02
