#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.1', start_date='2026-06-26T04:18:15', checksum=825300939, kind='quantile-0.05', investigation_time=50.0, imt='PGA'"
lon,lat,depth,poe-0.0100000,poe-0.0120045,poe-0.0144109,poe-0.0172997,poe-0.0207675,poe-0.0249304,poe-0.0299278,poe-0.0359270,poe-0.0431288,poe-0.0517741,poe-0.0621525,poe-0.0746113,poe-0.0895675,poe-0.1075217,poe-0.1290750,poe-0.1549487,poe-0.1860089,poe-0.2232953,poe-0.2680560,poe-0.3217891,poe-0.3862934,poe-0.4637278,poe-0.5566843,poe-0.6682744,poe-0.8022333,poe-0.9630449,poe-1.1560920,poe-1.3878364,poe-1.6660350,poe-2.0000000
90.41000,23.81000,0.00000,2.582567E-01,2.569064E-01,2.543900E-01,2.500485E-01,2.430720E-01,2.305647E-01,2.117627E-01,1.867084E-01,1.564182E-01,1.232515E-01,9.046182E-02,6.129938E-02,3.699286E-02,1.966116E-02,9.240257E-03,3.738452E-03,1.182766E-03,1.843383E-04,1.382030E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
90.41000,24.75000,0.00000,2.591168E-01,2.589772E-01,2.586571E-01,2.579898E-01,2.567355E-01,2.545508E-01,2.509904E-01,2.455243E-01,2.376308E-01,2.268121E-01,2.085182E-01,1.839926E-01,1.544861E-01,1.220018E-01,8.954042E-02,6.036194E-02,3.696839E-02,2.035010E-02,9.943959E-03,4.243440E-03,1.497711E-03,3.978397E-04,3.988106E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
90.50000,23.62000,0.00000,2.577555E-01,2.559339E-01,2.520182E-01,2.445408E-01,2.321925E-01,2.137781E-01,1.889355E-01,1.586085E-01,1.251600E-01,9.192900E-02,6.229226E-02,3.863612E-02,2.176842E-02,1.103322E-02,4.936013E-03,1.867750E-03,5.670512E-04,3.416192E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
90.50000,23.90000,0.00000,2.585549E-01,2.575122E-01,2.554896E-01,2.519048E-01,2.459899E-01,2.368939E-01,2.238423E-01,2.040018E-01,1.766711E-01,1.430327E-01,1.063898E-01,7.227538E-02,4.439744E-02,2.444815E-02,1.194934E-02,5.083297E-03,1.769552E-03,3.734510E-04,1.306868E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
91.87000,24.90000,0.00000,2.591284E-01,2.590005E-01,2.587418E-01,2.582635E-01,2.574446E-01,2.561456E-01,2.542364E-01,2.516176E-01,2.482228E-01,2.440004E-01,2.384448E-01,2.301150E-01,2.192369E-01,2.045128E-01,1.846552E-01,1.592264E-01,1.293698E-01,9.783389E-02,6.813753E-02,4.333884E-02,2.493706E-02,1.283722E-02,5.805758E-03,2.206580E-03,6.882990E-04,1.861400E-04,1.051306E-05,0.000000E+00,0.000000E+00,0.000000E+00
92.12000,25.10000,0.00000,2.590351E-01,2.588089E-01,2.583840E-01,2.576451E-01,2.564519E-01,2.546273E-01,2.519980E-01,2.484604E-01,2.439068E-01,2.383077E-01,2.316056E-01,2.215363E-01,2.087700E-01,1.928791E-01,1.738800E-01,1.525821E-01,1.303843E-01,1.088812E-01,8.920380E-02,7.167787E-02,5.603504E-02,4.193601E-02,2.937747E-02,1.887186E-02,1.085717E-02,5.469024E-03,2.368663E-03,8.616578E-04,2.382520E-04,2.381752E-05
