#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.1', start_date='2026-06-26T10:14:04', checksum=825300939, kind='quantile-0.05', investigation_time=50.0, imt='SA(0.2)'"
lon,lat,depth,poe-0.0100000,poe-0.0120045,poe-0.0144109,poe-0.0172997,poe-0.0207675,poe-0.0249304,poe-0.0299278,poe-0.0359270,poe-0.0431288,poe-0.0517741,poe-0.0621525,poe-0.0746113,poe-0.0895675,poe-0.1075217,poe-0.1290750,poe-0.1549487,poe-0.1860089,poe-0.2232953,poe-0.2680560,poe-0.3217891,poe-0.3862934,poe-0.4637278,poe-0.5566843,poe-0.6682744,poe-0.8022333,poe-0.9630449,poe-1.1560920,poe-1.3878364,poe-1.6660350,poe-2.0000000
90.41000,23.81000,0.00000,2.591815E-01,2.591626E-01,2.590021E-01,2.585408E-01,2.575387E-01,2.556912E-01,2.525053E-01,2.473496E-01,2.395122E-01,2.283116E-01,2.132524E-01,1.899655E-01,1.606723E-01,1.281783E-01,9.555865E-02,6.603184E-02,4.199988E-02,2.443757E-02,1.291331E-02,6.115810E-03,2.506443E-03,7.787778E-04,9.474139E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
90.41000,24.75000,0.00000,2.591818E-01,2.591818E-01,2.591792E-01,2.591450E-01,2.590466E-01,2.588328E-01,2.583704E-01,2.575013E-01,2.559625E-01,2.534189E-01,2.494419E-01,2.435897E-01,2.353845E-01,2.244073E-01,2.078575E-01,1.853450E-01,1.585057E-01,1.288314E-01,9.859824E-02,7.041123E-02,4.652103E-02,2.821169E-02,1.557066E-02,7.734679E-03,3.402449E-03,1.244758E-03,3.483325E-04,3.120047E-05,0.000000E+00,0.000000E+00
90.50000,23.62000,0.00000,2.591802E-01,2.591235E-01,2.588429E-01,2.581541E-01,2.568024E-01,2.543862E-01,2.503363E-01,2.439656E-01,2.339239E-01,2.181662E-01,1.970410E-01,1.709518E-01,1.413108E-01,1.104073E-01,7.995892E-02,5.300605E-02,3.224258E-02,1.788224E-02,8.959499E-03,3.971686E-03,1.459440E-03,3.211692E-04,5.489952E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
90.50000,23.90000,0.00000,2.591818E-01,2.591759E-01,2.590907E-01,2.587637E-01,2.579918E-01,2.565090E-01,2.538891E-01,2.495467E-01,2.427883E-01,2.329030E-01,2.193045E-01,1.996709E-01,1.720966E-01,1.403651E-01,1.072957E-01,7.620079E-02,4.990590E-02,2.994828E-02,1.635873E-02,8.050682E-03,3.483934E-03,1.223607E-03,2.357226E-04,1.824908E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
91.87000,24.90000,0.00000,2.591818E-01,2.591818E-01,2.591810E-01,2.591545E-01,2.590671E-01,2.588891E-01,2.585614E-01,2.579970E-01,2.570883E-01,2.557200E-01,2.537859E-01,2.511845E-01,2.478069E-01,2.436162E-01,2.380216E-01,2.297701E-01,2.189182E-01,2.044637E-01,1.854592E-01,1.615973E-01,1.337118E-01,1.038883E-01,7.500727E-02,4.985657E-02,3.028471E-02,1.665676E-02,8.196284E-03,3.522951E-03,1.229106E-03,3.335293E-04
92.12000,25.10000,0.00000,2.591818E-01,2.591818E-01,2.591643E-01,2.590899E-01,2.589329E-01,2.586399E-01,2.581287E-01,2.572948E-01,2.560014E-01,2.540786E-01,2.513931E-01,2.478213E-01,2.432769E-01,2.376932E-01,2.309783E-01,2.219346E-01,2.099679E-01,1.951605E-01,1.772907E-01,1.566657E-01,1.340399E-01,1.104692E-01,8.710662E-02,6.512410E-02,4.560458E-02,2.948363E-02,1.733333E-02,9.109472E-03,4.242957E-03,1.719694E-03
