#,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.1', start_date='2026-06-26T04:18:15', checksum=825300939, kind='quantile-0.5', investigation_time=50.0"
lon,lat,0.020000~PGA,0.020000~SA(0.2),0.020000~SA(1.0),0.050000~PGA,0.050000~SA(0.2),0.050000~SA(1.0),0.100000~PGA,0.100000~SA(0.2),0.100000~SA(1.0),0.200000~PGA,0.200000~SA(0.2),0.200000~SA(1.0),0.500000~PGA,0.500000~SA(0.2),0.500000~SA(1.0)
90.41000,23.81000,1.086999E-01,2.552528E-01,2.014161E-01,8.054687E-02,1.850578E-01,1.383599E-01,5.857914E-02,1.315341E-01,9.205576E-02,3.251524E-02,7.066482E-02,4.347475E-02,0.000000E+00,0.000000E+00,0.000000E+00
90.41000,24.75000,2.958419E-01,6.483502E-01,4.124643E-01,2.156549E-01,4.903691E-01,2.815840E-01,1.588019E-01,3.355182E-01,1.877212E-01,7.271719E-02,1.488633E-01,8.267447E-02,0.000000E+00,0.000000E+00,0.000000E+00
90.50000,23.62000,9.163120E-02,2.216798E-01,1.853023E-01,6.760418E-02,1.602620E-01,1.272154E-01,4.925767E-02,1.138855E-01,8.440508E-02,2.751189E-02,6.051264E-02,3.977947E-02,0.000000E+00,0.000000E+00,0.000000E+00
90.50000,23.90000,1.187366E-01,2.793941E-01,2.131401E-01,8.881819E-02,2.022191E-01,1.470222E-01,6.506371E-02,1.441680E-01,9.763653E-02,3.684255E-02,7.636198E-02,4.602700E-02,0.000000E+00,0.000000E+00,0.000000E+00
91.87000,24.90000,6.180505E-01,1.214474E+00,8.448512E-01,4.419952E-01,8.870012E-01,5.786439E-01,3.125211E-01,6.263537E-01,3.846313E-01,1.507325E-01,3.058616E-01,1.618177E-01,0.000000E+00,0.000000E+00,0.000000E+00
92.12000,25.10000,1.000364E+00,1.508781E+00,1.333561E+00,6.211767E-01,1.025241E+00,8.065319E-01,3.526471E-01,6.970197E-01,4.305208E-01,1.155289E-01,2.380261E-01,1.319367E-01,0.000000E+00,0.000000E+00,0.000000E+00
