#,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.1', start_date='2026-06-26T04:18:15', checksum=825300939, kind='quantile-0.95', investigation_time=50.0"
lon,lat,0.020000~PGA,0.020000~SA(0.2),0.020000~SA(1.0),0.050000~PGA,0.050000~SA(0.2),0.050000~SA(1.0),0.100000~PGA,0.100000~SA(0.2),0.100000~SA(1.0),0.200000~PGA,0.200000~SA(0.2),0.200000~SA(1.0),0.500000~PGA,0.500000~SA(0.2),0.500000~SA(1.0)
90.41000,23.81000,1.433604E-01,3.144930E-01,2.201126E-01,9.984418E-02,2.152350E-01,1.526930E-01,6.872687E-02,1.448660E-01,1.054065E-01,3.550613E-02,7.100879E-02,5.340545E-02,0.000000E+00,0.000000E+00,0.000000E+00
90.41000,24.75000,3.514119E-01,7.685577E-01,4.656492E-01,2.392700E-01,5.153931E-01,3.104778E-01,1.645660E-01,3.530763E-01,2.025208E-01,8.057590E-02,1.715723E-01,9.513065E-02,0.000000E+00,0.000000E+00,0.000000E+00
90.50000,23.62000,1.304902E-01,2.834569E-01,2.023835E-01,9.115575E-02,1.938766E-01,1.404915E-01,6.306184E-02,1.307670E-01,9.703897E-02,3.245757E-02,6.420194E-02,4.930906E-02,0.000000E+00,0.000000E+00,0.000000E+00
90.50000,23.90000,1.537984E-01,3.369992E-01,2.326737E-01,1.075242E-01,2.313770E-01,1.612487E-01,7.409046E-02,1.565443E-01,1.113816E-01,3.775673E-02,7.939691E-02,5.644073E-02,0.000000E+00,0.000000E+00,0.000000E+00
91.87000,24.90000,8.825155E-01,1.910202E+00,1.271662E+00,5.819497E-01,1.229696E+00,7.597765E-01,3.761815E-01,7.819514E-01,4.498914E-01,1.679520E-01,3.416321E-01,1.684878E-01,0.000000E+00,0.000000E+00,0.000000E+00
92.12000,25.10000,1.023918E+00,2.000000E+00,1.515630E+00,6.691893E-01,1.264869E+00,8.532814E-01,3.775945E-01,7.342300E-01,4.437969E-01,1.310564E-01,2.717066E-01,1.453070E-01,0.000000E+00,0.000000E+00,0.000000E+00
